- bodumedi	religious
molaolapeeletso	investment manager
molaolapotfolio	portfolio manager
molaolathoto	asset manager
molaolatirisotlotlo	financial regulator
molaolatlole	fund manager
molaomogolo	principal act
molaopabalesego	safety rule
molaopalelo	calculation rule
molaopharakano	traffic rule
molaotheo	constitution
molaotheo wa kgabaganyo	interim constitution
molaotheo wa porofense	provincial constitution
molaotlhomo	bill
molaotlhomo / molaokakangwa	bill
molaotlhomo wa ditshwanelo / molaokaedi wa ditshwanelo	bill of rights
molaotlhomo wa ditshwanelo / molaokaedi wa ditshwanelo / molaokakangwa wa ditshwanelo	bill of rights / bill of human rights
molaotlhomo wa ditšhelete	money bill
molaotlhomokakangwa	draft bill
molaotlhomokgobelelo	hybrid bill
molaotlhomotekanyetso	appropriation bill
molaotlhomotlhabololo	amendment bill
molapalo	number line / number axis
molapheletso / molaphenyo	finish line
molapo / letsapa	exhaustion
molasa	molasses
molatepo	springing line
molatheo	base line
molathoko	sideline / touch line
molatlhamalalo	straight line
molatlhanonoko	stave
molatlhegelwa	runner-up
molato	guilt
molato / sekoloto	credit
molato / sekoloto	debt
molato / sekoloto	principal
molatokgetho / sekolotokgetho	tax liability
molatotheo / sekolototheo	principal
molawana	by-law / bye-law
molawana	ordinance
molawana	rule
molawana wa bontsi	majority principle / majority rule
molawana wa go nosa dino fa o etile / molawana wa dino tsa kwa ntle	away goal rule
molawanatheo	basic principle
molawanatheo-tekanyo	basic principles of measurement
molawanatlaleletso	by-law / bye-law
molawanatshiamelo	advantage clause / advantage rule / advantage law
moleane / tlhotlhomenyong	egret
molebo wa Seaforika	Afrocentric
molebo wa Seyuropa	Eurocentric
molekane	partner
molekane / moratiwa	partner / sexual partner
molekane yo o sa tshwaetsegang	uninfected partner
molekanethobalanong	sexual partner / sex partner
molekanyaboleng	valuer / valuator
molekanyetsitshireletso / molekanyetsiinšorense	underwriter
molekhule	molecule
moleleselo	cruising speed
molelo	fire
molelo wa malatlha	coal fire
molelo wa naga	veld fire
molelontle	open fire
molelwane	boundary / boundary line
molelwane / losi	edge / border
molelwane kgaolo	district boundary
molelwane wa toropo	urban cadastral boundary
molelwanepusoselegae	local authority boundary
molema / ntsogotlho	left
moleme	left-footed player
molemeng wa	to the left of
molemmo / setlhare	drug
molemo / tshiamelo	favour
molemo o o bonolo	soft drug
molemo o o laoletsweng	ethical drug
molemo wa bohutsana	orphan drug
molemo wa boitaolelo	off-patent medicine
molemo wa bolaolelwa	on-patent medicine
molemo wa botlhokwa / molemo wa motheo	essential medicine
molemo wa khaontareng	over-the-counter drug / OTC drug
molemo wa tlhomamiso / thuno ya melemo / papiso ya melemo	medication reconciliation
molemo wa tshwaiwa	brand-name drug
molemokgadikego / metsikgadikego / setlharekgadikego	gripe water
molemokokelo	hospital-only medicine / HOM
molemotagi	tincture
molemotaolelo fela	prescription-only medicine / POM
molemotaolelotlhagisoesi / tlhagisolemoesi	patent medicine
molemotlhabo / setlharetlhabo	injectable medicine
molemotlhotlhwatlase	generic medicine
molemotota	hard drug
molemotshwana	biosimilar / biological similar medical product
molemotswako	combination product
molemowa mahala	cost-free medicine
molemowa mokokotelo	counterfeit medicine
moleswafatsi / mokgotlhedi	litterbug
moletabosigo	night guard
moletlanyi / moruanyi	mediator
moletlo	festival
moletlo wa bosigo	soirée / soiree
moletlo wa dilalelo	gala dinner
moletlo wa filimi	film festival
moletlo wa jese	jazz festival
moletlo wa lenyalo	wedding ceremony
moletlo wa mmino wa tšhemba	chamber music festival
moletlokgethegileng	special occasion
moletlosedumedi	religious festival
moletlotlhomo	inauguration ceremony
moletlwana	mini-festival
moletsadiletswa	instrumentalist
moletsafolutu	flautist
moletsakatara	guitarist
moletsakataraporo	bassist
moletsakataraporotlase	electric bassist
moletsakwadi	keyboardist
moletsamoropa	drummer
moletsapiano	pianist
moletsasakesofounu wa lekgorokgoro	classical saxophonist
moletsaseletswa sa jese	jazz instrumentalist
moletsaseletswa sa mowa	woodwind player
moletsaselo	cellist
moletsatlelarinete	clarinettist
moletsatšhakgatšhakga	percussionist / percussion player
moletsavayolini / movayolini	violinist
molodi	melody
molodi wa Seaforika	African melody
molodi wa lekgorokgoro	classical melody
molodi wa moretheto / molodi wa lliliti	lilting melody
mologi	weaver
mologo / makerame	macramé
molomaganyo	butt joint
molomo	mouth
molomo / peipi	spout
molomo o o segogoropo	curved beak
molomo wa nonyane	beak
molomo wa popelo	cervix
moloratswaki	pulverised fuel ash / fly ash
molwantshatlhaolele	anti-apartheid activist
molwelaphetogo	radical
molwelasetso	cultural activist
molwetse wa sukiri	diabetic
molwetse-tlhokatshwaetso	non-infectious patient
molwetsematshosetsi godimo	high-risk patient
molwetsetlhaelotshouto / molwetse wa tshouto e e bokoa	immunocompromised patient
molwetsetlhotlhwagodimo	high-cost patient
molwetsetshwaetsi / motshwaetsi	infectious patient
momagano	tessellation
momaganya	fuse
momaganya	weld
momaganya / kgotlaganya	tessellate
momaganyo	welding
momaope / moliberiti	librettist
momeno / sekorolo	scroll
mometso	oesophagus / esophagus
mometso / kgogobe	pharynx
momonego / sesefalo / popamo / kotlhego / go ota	weight loss / mass loss
monala	talon
monamo / motlang	runner
monamodi / matšhonisa	financial intermediary
monamune	citrus
monana	adolescent
monang	mosquito
monawa	legume
moneeladipampiritlhopho	ballot paper issuer
moneelo / kabelo	offering
monetefaletsatuelo	guarantor
monetetshi / rabonetetshi	scientist
mongena / selotlele sa letlhabaphefo	custodial lock
mongobo	den
mongokwabongsele	heterosexual
mongokwabongtshwanang	lesbian
mongokwabongtshwanang / kei	homosexual / gay
mongongoregi / moledi	complainant
mongpholisi	policyholder
mongôki / mmapatsi / moipapatsi	canvasser
monnapele	front bencher
monoma	monomer
monontsha	fertiliser
monontsha	mould
monontsha wa maitirelo	artificial fertiliser
monosanno	goalscorer
montsane / monang	mosquito
monwana	finger
monwana wa leoto	toe
monyego	osmosis
monyelo	absorption
monyo / khawa / phoka	dew
mookamamotshameko	match commissioner
mooki	nurse
mooko	bone marrow
mooko / tenthapo / pelwana / emborio	embryo
mookopedi	dicotyledon
moopedi wa faleseto / mofaleseto	falsetto singer
moopedi wa opera / moopera	opera singer
moopela mmino wa sedumedi	gospel singer
moopelajese	jazz singer
moopelanosipatwa-ke-diletswa / ariya	aria
moopelanyalong	wedding singer
mootlo	cud
mootlwana	pet
mopakwana	boom
mopakwana	hurdle
mopalamagategate / mobaesekele / mopalamaperetshitswana	cyclist
mopalamapitsebelo / joki	jockey
mopalamente / mothaamolao	legislator
mopalami / monamedi	passenger
mophakarego / lentlele	cross beam
mophasalatsammino	music publisher
mophato / seema / setlhopha	grade
mophepafatsi	cleaner
mopoletiki / radipoletiki	politician
moporesitente / tautona	president
moporesitente wa namaotshwere / tautona ya namaotshwere	acting president
moporo wa kodutlase	bass-baritone
moporofeta	prophet
moputso / letseno	revenue
morafe	tribe
morafogo	warp
moraga / ditsobotla	swampy area
moraga / ditsobotla / maanwane	wetland
moragapenele	penalty-taker
morago	back
morago / fetile	past
morago / pele ga	previous
morago ga	after
morago ga boimana / morago ga pelego	post-natal
moraka / kampa	camp
moraladikago	architect
moralo-ka-khomphiutha / thalo-ka-khomphiuta	computer-aided design / Acronym CAD
moraopi / mongoki	lobbyist
morara	vine
moratajese	jazz aficionado
moratajese	jazz fanatic
moratajese	jazz lover
moratammino	aficionado
moratammino	music lover
moratho / leborogo	bridge
moratho / motshelakgabo / letsibogo	bridge
moratho o o obegileng	arch bridge
morathokabole	cable-stayed bridge
moratwa	boyfriend
moratwa / lekgarebe	girlfriend
moreba / sa nonang / moopa	infertile
morefosani	alternate member
moreki	customer
morekisadikabo / mmapatsadišere	stockbroker
morekisimmileng	vendor
morekisitseleng / morekisatseleng	hawker
morepa / morepi	rapper
morepelatlhamong	freestyle rap
morerisanimogolo	key negotiator
moretelediane / modikologo / motanso	dance
moretelediane / modikwadikwane	dance
moretelediane wa Seindia	Indian dance
moretelediane wa Serashiya	Russian dance
moretelediane wa Setšhaena	Chinese dance
moretelediane wa dithobane	stick dance
moretelediane wa go kgaogana	parting dance
moretelediane wa maibi	trance dance
moretelediane wa mamatlhwane / moretelediane wa sesirafatla	mask dance / masquerade
moretelediane wa moetlo	ritual dance
moretelediane wa pula	rain dance
moretelediane wa tlhomo	coronation dance
moreteledianekalafi	healing dance
moreteledianekhafo wa Seindia	Indian scarf dance
moreteledianetlhaka	reed dance
moreteledianetlholego	indigenous dance
moreteletso wa diskho	disco dancing
moretheto / lliliti	lilt
moretologa	pivot kick
moriri	hair
moriti	film negative
moriti	shade
moriti	shadow
morogo	vegetable
morogo wa selemo	summer vegetable
moroka	rain queen
moroko	bran
morokotso / dinamane / tsalo	interest
morokotso / koketsegotlole	capital gain
morokotso / poelo	profit
morokotsokokoantsweng	accrued interest
morokotsotlhakanelo	participatory interest
morokotsotlotlo	financial interest
morokotsotswako / kokoanotsalo	compound interest
morolamaikarabelo	indemnitor
morolwamaikarabelo / mosireletswa	indemnitee
moromedi	sender
moropa	drum
moroparekere	rubber drum
morotloetsi	luminary
morotloetsimogolo	cheerleader
morubisi	barn owl
morubisi	owl
morufa / bolompoto / nkgwanatšheše	vase
morulaganyi / impriserio	impresario
morumo	rhyme
moruo / ikonomi	economy
morutabalekane / morutasemphato	peer educator
morutabana / motlhatlheledi	educator
moruti	rabbi
morwalamaikarabelo	surety
morwalamaikarabelo / mogolegelwamaikarabelo	surety
morwalo	load
morwalo / thoto	cargo
mosaitsiweng	stranger
mosefaramogolo	webmaster
mosegagong	woodcutter
mosegi / sesegi	cutter
mosekasekamotshameko	soccer analyst
mosekasekitlotlo / mosekasekimadi	financial analyst
moseksofounu / moletsaseksofounu	saxophonist
moseladikgwele	ballboy
moselamaswe	sewer
mosele	channel
mosele	drain
mosele	sluice
mosele / foro	furrow
mosele / peipi	outlet
mosele o o tswetsweng	closed sluice
moseleleswe	sewer
moseleleswe / peipileswe	soil pipe / cesspipe
moselemaswe	drainage
moselemetsi	storm sewer / storm drain
moselemowa / moelamowa	air duct
moselomantle	sewerage
moseme / legogo / mmetshe	mat
mosetlelo / pilaratheo	pile
moseto	engraving
moseto	rebate
moseto / mogwao	chase
mosetsana	girl
mosetwana / sebata / motlhokolotso	strip
mosi	smoke
mosidi	miller
mosidi	soot
mosidili	physiotherapist
mosifa	muscle
mosifa / ntha	ligament
mosima / phatlha	hole
mosima wa peba / kutle ya legotlo	rat hole
mosimakaedi / mosimatlhala	pilot hole
mosimaphesodi	lift pit
mosimasele	manhole
mosireletsasetšhaba	Public Protector
mosireletsi / motshamekamorago	defender / fullback
mosireletswa / moinšorwa	insured / insureds
mositlhaphala	centipede
mositsana	wattle
moskhi	mosque
moso	before noon / a.m. / ante meridiem
moso / phakela	morning
mosomelwana / khondomo	condom / see also male condom; female condom
mosusa / moamogelaphenšene / mophenšenara	pensioner / retiree
mosutele / letshotelo / motshotelo / mmutele	manure
mosutlhalefaufau	astronaut
motakalala	crayon
motanakolobe / setanakolobe	khaki-weed
motang	forceps / tongs
motataisi	facilitator
moteko	tack weld
moteme	tin
motemekgatshi / motemethimotsa	spray can
mothale / molebedenamo	molybdenum / Mo
mothalo / mošato	stripe
mothalo wa sekhutlo sa lebala / mola wa sekhutlo sa lebala	corner arc / arc of a circle
mothalotsepa	perpendicular
mothama / bolumu	volume
mothamo	capacity
mothamo	content
mothamo / bolumu	volume
mothamo o o bolayang / tekanyetsamolemo se se bolayang	lethal dose / fatal dose
mothamo wa kalafo / tekanyetsamolemo sa kalafo	effective dose / ED
mothamo wa molemo o arogantsweng / tekanyetsamolemo sa molemo o o arogantsweng	divided dose / fractionated dose
mothamo wa ngwana / tekanyetsamolemo sa ngwana	child's dose / pediatric dosage
mothamo wa ntlha / tekanyetsamolemo sa ntlha	initial dose / loading dose
mothamo wa phisotlalo / tekanyetsamolemo sa phisotlalo	erythema dose
mothamogotlhe	integral dose
mothamokalafo / tekanyetsamolemokalafo	curative dose / CD
mothamokgotlhelelo / tekanyetsamolemokgotlhelelo	tolerance dose / maximum tolerated dose
mothamonosi / tekanyetsamolemonosi	unit dose / single dose
mothamotlharetsatsi	defined daily dose / DDD
mothamotshwaetso	infective dose / ID
mothamotsosoloso / tekanyetsamolemotsosololo	booster dose
mothamotsweletso wa kalafi	maintenance dose / maintenance dosage
mothapo	nerve
mothapofaratlhatlha	net vein
mothapomabapi	parallel veins
motheo	foundation
motheo / molawana	principle
motheo / theo	basis
motheo-thulaganyopalo	base / radix
motheopilara	footing
motheotlhomeso	raft foundation
motho	human being
motho yo o tshelang ka Aids	person living with Aids / PLWA / person with Aids / PWA
mothobamaikutlo / moritibatsamaikutlo / mokgopholodi	counsellor
mothomothong / kgomarelomotho / go apara motho	man-to-man
mothubiso	laxative / laxant
mothudi	blacksmith
mothulamaotwana	wheelwright
mothusamokatisi	assistant coach / assistant trainer
mothusamolaolamotshameko / mothusamoletsaphala	assistant referee / linesman
mothusamolaolamotshameko / mothusamoletsaphala wa setlhopha	club assistant referee
mothusamolaolamotshameko wa tlaleletso / mothusamoletsaphala wa tlaleletso / motlhankedi wa bone / mothusamotsereganyi wa tlaleletso	fourth official
mothutadiphologolo	zoologist
mothuthugi wa moletsa folutu	fledgling flautist
mothwantsho	click
motimamolelo	fireman
motlae	joke
motlakase	electricity
motlakasekgotlano	static electricity
motlakisano	courting
motlamedi / mothelesi	supplier
motlamedipholo / modiredipholo / motlamedi-tlhokomelopholo	health-care provider / health provider
motlamelaboitekanelo / motlamedipholo / modiredipholo	health worker / health-care worker
motlamelatirelotlotlo	financial services provider
motlaopi	clown
motlatsa-moelatlhoko wa ditlhopho / motlatsamotlhokomedi wa ditlhopho	deputy presiding officer
motlatsamoporesitente / motlatsapresidente	deputy president
motlatsamotlhophisimogolo wa ditlhopho	deputy chief electoral officer
motlatsatona	deputy minister
motlaupi	comedian
motlhaba	sandy soil
motlhaba / mošawa	sand
motlhaba o o magwasipa	rough sand
motlhagaretlase / lotlhaatlase	lower jaw
motlhagisakgopolo	opinion maker
motlhagisammino	music producer / regisseur
motlhala	clue
motlhala	precedent
motlhala	trail
motlhala bolepolepo / motlhala borerepa	slimy trail
motlhamajese	jazz artist
motlhamedi	freelance composer
motlhampepe / pharasaete	parasite
motlhankedi wa ditlhopho	election official
motlhankedi wa ditlhopho	electoral officer / returning officer
motlhankedi wa ditlhopho	polling officer / voting official
motlhankedi wa ditlhopho tsa selegae	local electoral officer
motlhankedi wa lekgotlana / motlhankedi wa setlhopha	club official
motlhankedi wa lenaane la batlhophi	voters’ roll officer
motlhankedi wa motshameko	match official
motlhankedi wa setlhopha	team official
motlhankedikagiso	peace officer
motlhankedikgaolo	district officer
motlhankedikgokaganyo wa lekoko	party liaison officer
motlhankedimogolo	presiding officer
motlhankedimogolo wa ditlhopho / motlhophisemogolo	chief electoral officer
motlhankedimokaedi	presiding officer
motlhankedipalelo	counting officer
motlhankedipodisi	police officer
motlhankeditlhopho wa kgaolo	district electoral officer
motlhankelaboarelo	theatre agent
motlhankelapharakano	traffic officer / traffic policeman
motlhankelelakobamelo / motlhankedikobamelo	compliance officer / CO
motlhasedi	attacker / forward / striker
motlhatlhana / motlaagana	prefabricated house
motlhodi / setlhotlheletsi	catalyst
motlhodi / thugisi	enzyme
motlhogo / serintšhe / sepeite	syringe
motlhogo / sirinji / sepeiti	syringe
motlhokabokgoni	unskilled worker / unskilled labourer
motlhokamokgatlho / mosaikabe	non-partisan
motlhokathemisomadi	haemophiliac / bleeder
motlhokomedi	caregiver / carer
motlhokomedi	gatekeeper
motlhokomedi	trustee
motlhokomedi / motlamedi	guardian
motlhokomedi wa boditšhaba	international observer
motlhokomedikemanosi	independent trustee
motlhokomedisemolao	legal guardian
motlhokomela diphologolo tsa serapa	zookeeper
motlhokomelamusiamo / motsamaisamusiamo	curator
motlhophi	voter / constituent / elector
motlhophi a se yo	absentee voter
motlhophi yo o dumeletsweng	eligible voter
motlhophi yo o etsaetsegang	floating voter / undecided voter
motlhophikwadiswa	registered voter
motlhophisi / moitseanape wa ditlhopho	pollster
motlhophitlhoka / kitso puisokwalo	illiterate voter
motlhophitsofe / motlhophigodi	aged voter / elderly voter
motlhotlho	filter
motlhotlho	strainer
motlhotlho / motsotso	cupola
motlhotlho / piramiti	pyramid
motlhware	olive
motlolamolao	violator
motlolesusa / motlolephenšene	pension fund member
motlologararo	triple jump
motlololeele	long jump
motlolopale	pole vault
motlopa	clitoris
motlotlo / puisano	conversation
motokwane / motekwane	dagga
motopo	conical
motopo / popego-lee	oval
motoroko / toroko	prickly pear
mototiwa	target player
mototwane / seebana	epilepsy
mototwane / seebana	seizure
motoutwane / mmoto	moth
motoutwane wa sebokosei / mmoto	silkworm moth
motsadi	parent
motsamaisasetlhopha	team manager
motsamaisi	administrator
motsamao	locomotion
motsamao	motion
motsamao	movement
motsamaosekhubu	wavelike motion
motsamaya ka dinao	pedestrian
motsarogi / moakerobate	acrobat
motsereganyi	arbitrator
motsereganyi	intermediary
motsereganyi / molaolamotshameko / moletsaphala	referee
motshamekagare	midfield player
motshamekagotlhe	roving player / free-role player
motshamekamorago	sweeper
motshamekamoragogare	central defence
motshamekatlhakore / motshamekathoko	winger
motshameki	footballer
motshameki wa dinaopedi	double-footed player / two-footed player
motshameki yo o kwa bankeng / motlatsabatshameki / moemedi	reserve
motshameki yo o sa kwadisiwang	unregistered player
motshameko	game
motshameko	match / game
motshameko	sports / sport
motshameko wa boditšhaba	international match
motshameko wa boto	board game
motshameko wa botsalano	friendly match
motshameko wa diselammapa	derby
motshameko wa kwa ntle	away game
motshameko wa letsatsi le le lengwe	one-day match
motshameko wa sekolo	school play
motshameko wa serala / motshameko wa teatere	stage play
motshameko wa trapisi	trapeze act
motshamekobala	field event
motshamekogae	home game
motshamekommino	musical play
motshamekopalo	calculator game
motshamekoteko	test match
motshamekotshosologo	extravaganza
motshamekotshutlhelelo	qualifier
motshegetsatswelopele	progressive
motshegetsi	back-bencher
motshegetsi / moemanokeng	supporter
motshegetsiphekolong / motshegetsikalafong	treatment supporter
motshegetsitlhoka / kitso puisokwalo	illiterate supporter
motshelaka-lebolelamading / motho yo o tshelang ka HIV	person living with HIV / PLWH
motshikinyi	mover
motsholamatlotlo	exchequer
motsholatopotuelo	bearer
motsholelathoto	fiduciary
motsholetsaditshipi	weightlifter
motshope	spiral
motshotelo / mmutele / kompose	compost
motshotelo / mmutelo	animal manure
motshwaediwa / motho yo o tshwaeditsweng	infected person
motshwaediwa wa HIV / motshwaediwa wa lebolelamading	HIV-infected person
motshwantshi / mosupetsi	illustrator
motshwaratakata / moopedisi	conductor
motshweetshwee / lekgwekgwe	atopic eczema
motsila / telele / molatelo	rectum
motso	single number
motso	unit
motsoko	tobacco
motsotso	minute / min.
motsotswana	second
motsu	arrow
motsu / bogale / ntlhana	sharp
motsulloko	collar
motswakamodumo	sound artist
motswako	compound
motswako	mixture
motswako	suspension
motswako / motlhaolosa	solution
motswako / tlhaoloso	solute
motswako o o tlopelegileng / motswako o o loileng	saturated solution
motswako wa Fehling	Fehling’s solution
motswako wa Millon	Millon’s solution
motswako wa ayodine	iodine solution
motswako wa jese	acid jazz
motswako wa sekaletswai / motswako wa salepetere	saltpetre solution
motswakotshelang	organic compound
motswakotsopa	clay mixture
motswakwa / moditšhaba / mosele	foreigner
motswasetlhabelo	victim
motswasetlhabelo wa boraro	third party
motswedi	fountain
motswedi	groundwater
motswedi	resource
motswedi	source
motswedi	spring
motswedi o o ntšhwafatsegang	renewable resource
motswedi-tlhokantšhwafatso	non-renewable resource
motswedimaatla / senayamaatla / ntshokotla	energy source
motsweditlholego	natural resource
motswenatsweno	bleeding
motsweretshi wa motswakwa / mootaki wa motswakwa	foreign artist
motšhini	machine
motšhini o o rokang	sewing machine
motšhini wa fekese	fax machine
motšhini wa go loga / llumu	loom
motšhini wa tlhaga	lawnmower
motšhini wa zip-zip	zip-zip machine / bar-code scanning unit / eZiskan
motšhinitlhaga wa motlakase	electric lawnmower
motšhonkolo	muchongolo
motšhotšho	finger
mouba / sebesetso / onto	kiln
mouta	mould
mouta / boswa	fungus
mouwane	fog
mouwane	mist
mowa	air
mowa	breath
mowa	spirit
mowa o o bothitho	thermal
mowa o o phepa / mowaphepa / mowa o o sa kgotlelegang	unpolluted air
mowafala	evaporate
mowafalo	evaporation
mowafalokomota / kgapetla	sublimation
mowakgatelelwa	compressed air
mowametsi / setimi	water vapour
mowaphepa	fresh air
mowatshesane	thin air
moweti	moiety
mpa	abdomen
mpa ya lebala / bogare jwa lebala	midfield
mpapa / nnyo / phephe	vagina
mpe / maswe / tshosang	terrible
mphe	flatworm
mphe / khumela	tapeworm
mphiwafela	grant
mpho / talente / neo	talent
mponeng	exhibitionist
mpoposetshosa	finger puppet
mpumpu	honeysuckle
munoleswe ka motlakase / munometsi ka motlakase	electrodialysis / ED
munometsi / munoleswe	dialysis
musiamo wa botsweretshi / musiamo wa botaki	art museum
naelone	nylon
naeterojene	nitrogen
nafethalini	naphthalene
naga	country
naga	state
naga	tract
naga	veld
naga / leboa	open field
naga / tshimo	field
naga e e tlhabologang	Third World country
nagagodimo / kgaolo ya pholara	polar region
nagalegae	bantustan
nagamadirelo	industrialised country
naganela / kutlwelelano / lelammogo	empathise
nagatlhabologang	developing country
nagatlhabologileng	developed country
nagatlhabologotlase	underdeveloped country
nakaladi	milk tooth
nako	time
nako ya boikhutso / nako ya go kgwa mowa	half-time / half-time interval
nako ya dijo	meal
nako ya go jala	sowing time
nako ya moletsaphala / nako ya molaolamotshameko / nako ya motsereganyi	stoppage time / referee's optional time / injury time / additional time
nakodijotshegare	lunchtime
nakoikatiso	training session
nakopalo	digital time
nakotiragalo / tiragatsosemetsing	real time
nakwana / ga jaana	moment
naledi	star
naledi ya dibaesekopo / sekgantshwane sa difilimi	movie star / film star
naletsana	asterisk
nama	flesh
nama	meat
nama	spread out
namagadi / tshegadi / mosadi / tshadi	female
namane	calf
namane / tlhaka	unborn baby
namasitsweng / minse	mince
namolokgetho	tax relief
namololato	forbearance
namune	orange
nanomitha	nanometre
nawa	bean
nawa ya soya	soya bean
nawaserara / nawaseithari	runner bean
neeletsanokgwele	ball distribution
neeletsanosebedi / kgomaofetise	two-touch passing
neelodithata / kabelodithata	enfranchise
neelokarata e e serolwana	caution a player / take a name
neelokarata ya bobedi	double caution
neelokgang	press release
neferaphini	nevirapine
nepagalo	accuracy
nepagalo ya bopalomathaithai / nepagalo ya bopalotharabololo	mathematical accuracy
nepagetse	accurate
netefaletsa / gomotsa / kgothatsa	reassure / comfort
netefaletsopusetsomadi	money-back guarantee
netefatsa / tlhomamisa	verify
netefatso	verification
ngaka	doctor
ngaka	traditional healer
ngaka ya diphologolo	veterinary surgeon / vet / veterinarian
ngakamoabamelemo / ngakamontshaditlhare	dispensing doctor
ngala / tenega	sulk
ngangisano / kganetsano	debate
ngangisano / phigisano / kganetsano	argument
ngaologa / taologa / ngamola	stretch
ngata	bundle
ngata	cluster
ngoka	canvass
ngokotshegetso	canvass
ngongorega	complain
ngotlega / ngotla	contract
ngotlo / ngotlega	contraction
ngunanguna / mumura	muffle
ngunanguno ya lekoko	party caucus
ngwaga / jara	year
ngwaga wa ditšhelete	fiscal year
ngwagakgolo	century
ngwagamoleele / ngwagatelele	leap year
ngwagasome	decade
ngwagatlotlo	financial year
ngwana	young
ngwang / mofero	common weed
ngwedi	moon
ngôko / ipapatso	canvass
niasene / bokgakga	niacin / nicotinic acid
nione	neon / Ne
nitamisa / tlhomamisa	stabilize
nitamotlhotlhwa	price stability
nkgolegano / nkgomowa	halitosis / bad breath
nkgotuwe / bitšhumene	bitumen
nko	nose
nku	sheep
nku e enamagadi	ewe
nkwe	leopard
nna teng	accompany
nna teng	existence
nne	four
nnete	true
nngwe	one
nngwe -tharong	third
nngwe-keteng	thousandth
nngwe-someng	tenth
nngwesomepeding	twelfth
nnikele	nickel
nno	goal
nnotagi	alcoholic drink
nnototlase	blue note
nnye -go	smaller than
nnyennye / potlana	minute
noga	snake
noga e e sa tlwaelegang	exotic snake
noka	river
noko	internode
noko	node
nokopedi / minimi	minim
nokopedikhutso / minimikhutso	minim rest / half rest
nokothaladi / molanoko	ledger line
nolofatsa	simplify
nolofatsa / bebofatsa / kgontsha	facilitate
nolofatso	simplest form
nomoro ya kgaolotlhopho	voting district number
nomorotiriswagotlhe	number portability
nomorotlhaolosebele / NTS	personal identification number / PIN
nona / akola	weight gain
nong sejanama / nong e e jang nama	bird of prey
nong sejatlhapi	black oystercatcher
nongsejapeo	seed-eater
nongwatle / sefudiwatle	gull
nonneng	fertile
nonofile	effective
nontsha	fertilise
nontshetsantle / kgwelelontle / nontshontle	external fertilisation
nonyane	bird
nonyane e e bokgwabo	tame bird
noolwane	legend
nopolo	extract
nosa	water
nosetsa	irrigate
nosetsa	water
nosetso	irrigation
nosi	single
nosotharo	hat trick
nota / tsitlola / tsipa / tlhoba	nip
noto	mallet
noto / hamore	hammer
notshe	bee
ntho	lesion
ntho	ulcer
ntho	wound
ntho / kgagogo	tear
ntho e e kekelang / kankaranki	gangrene
ntho ya letlalo	skin lesion
ntho ya molelo	burn wound / burn
nthomapele / nthomatlase	genital ulcer
nthomogodu / sesomogodu / kgobogomogodu	stomach ulcer / gastric ulcer
nthufe	brown rat
ntimo / koi / kgati	rope game
ntle ga tlhakanelothoto	out of community of property
ntlha	direction
ntlha	fact
ntlha / nno	score
ntlha ya kompase	compass point / point of the compass
ntlha ya tikologo	environmental issue
ntlhabokone / tshupabokone	north pole
ntlhafelokwadiso	registration point
ntlhagare / ntlhakgabaganyo	trough
ntlhaitsenyokotsing	risk factor
ntlhakgolo	headline
ntlhakgopolo / ntlhatlhokakamogelesego	de facto
ntlhamabapi	neighbouring point
ntlhana	pole
ntlhana	terminal
ntlhana	tip
ntlhana	tip / apex / vertex
ntlhana	vertex
ntlhana / selwana	item
ntlhana bokone / tshupabokone	north-seeking pole / north pole
ntlhanaboro / phetlheletsi ya boro	drill bit
ntlhanaborwa	south pole
ntlhanaborwa / tshupaborwa	south-seeking pole
ntlhapaakanyo / pusetsotseleng	point of order
ntlhatekanyetso	basis point
ntlhatekanyo	break-even point
ntlhatekatekano	equilibrium point
ntlhatherisano	issue
ntlhathotloetso	material fact
ntlhatlopelo	saturation point
ntlhopeng wa kutle ya lekoko / ntlhopheng wa wate ya lekoko / ntlhopeng wa kgoro ya lekoko	party ward candidate
ntlhopheng	candidate
ntlhopheng yo o ikemetseng wa wate	independent ward candidate
ntlokemedi	embassy
ntlwana	cabin
ntlwanabobeelo	shed
ntlwanaboithomelo	toilet / lavatory
ntlwanaboithusetso ya botlhe / sekgwamathe sa botlhe	public toilet
ntlwanakepe / phaposikepe	cabin
ntlwanatlhophelo	voting booth / ballot booth / polling booth
ntsenatsena / bosae	mite
ntsha	deduct
ntsha	minus
ntsha / somola	extract
ntsha / tlosa	subtract
ntsha / tlosa	take away
ntsha thapo	stone
ntshetsontle	output
ntsho / kganetso	negation
ntsho-ka-kgwedi / tuelo-ka-kgwedi	monthly contribution
ntshopopelo	hysterectomy
ntshotlole / tshabisotlole	capital flight
ntsi	fly
ntsi	housefly
ntsiterakone / mokodunyane	dragonfly
ntsu	eagle
ntwa	fight
ntwa	war
ntwamaikutlo	emotional violence
ntšhwafatsa	renew
ntšhwafatsegang	renewable
ntšhwafatso	renewal
ntšhwe	ostrich
ntšwa e namagadi	bitch
ntšwa ya Yorkshire	Yorkshire terrier
nwela	sink
nyalana	tally
nyalano	match
nyalano	tally / reconciliation
nyalanya	match
nyatsa palamente / nyatso	contempt of parliament
nyemisa mooko	discourage
nyokano / thobalano	sex / intercourse / copulation
nyokanonnyong / nyokanompapeng / nyobanonnyong	vaginal sex / vaginal intercourse
nyontsha	disgust
